X,utla,date,cases,caserate,deaths,deathrate,income,vacci,pop,,
75,Luton,12-11-2021,36342,17019.8,627,293.6,28200,66.1,4925 ,,
76,Liverpool,12-11-2021,86986,17380.7,1557,311.1,26672,68.3,4475 ,,
77,Lincolnshire,12-11-2021,97325,12700.1,1865,243.4,26085,83.7,129 ,,
78,Lewisham,12-11-2021,37750,12364.5,652,213.6,35674,65.3,8687 ,,
79,Leicestershire,12-11-2021,104580,14665.9,1656,232.2,28744,84.7,342 ,,
80,Leicester,12-11-2021,63555,17951.6,973,274.8,23322,68.9,4827 ,,
81,Leeds,12-11-2021,135468,16959.2,1906,238.6,27785,74.5,1448 ,,
82,Lancashire,12-11-2021,204555,16670.1,3635,296.2,27977,80.8,424 ,,
83,Lambeth,12-11-2021,44478,13821.1,627,194.8,39986,63.4,12005 ,,
84,Knowsley,12-11-2021,30474,19989.2,482,316.2,25864,73.7,1762 ,,
85,Kirklees,12-11-2021,70290,15928.3,1065,241.3,26946,79.2,1080 ,,
86,Kingston upon Thames,12-11-2021,23402,13063.4,356,198.7,43816,74.5,4808 ,,
87,"Kingston upon Hull, City of",12-11-2021,42694,16476.2,785,302.9,22767,74.7,3620 ,,
88,Kent,12-11-2021,205442,12928.5,4764,299.8,33180,81.6,448 ,,
89,Kensington and Chelsea,12-11-2021,17434,11114.1,289,184.2,92675,59.4,12939 ,,
90,Isle of Wight,12-11-2021,16274,11436.7,329,231.2,24215,84.8,375 ,,
91,Hounslow,12-11-2021,42638,15689.2,690,253.9,34684,68.5,4856 ,,
92,Hillingdon,12-11-2021,45085,14590,807,261.2,31801,72.6,2671 ,,
93,Hertfordshire,12-11-2021,164333,13744,2984,249.6,37567,80.8,728 ,,
94,"Herefordshire, County of",12-11-2021,20078,10370.1,364,188,25787,85.7,89 ,,
95,Havering,12-11-2021,40934,15704.5,957,367.2,35544,76.3,2320 ,,
96,Hartlepool,12-11-2021,17380,18521.7,297,316.5,25395,80.4,1001 ,,
97,Harrow,12-11-2021,35381,14021.3,753,298.4,36540,70,5000 ,,
98,Haringey,12-11-2021,35004,13141.8,555,208.4,36078,62.2,8997 ,,
99,Hampshire,12-11-2021,163992,11804.7,2960,213.1,33505,87.7,378 ,,
100,Halton,12-11-2021,23166,17853.1,320,246.6,26308,79,1641 ,,
101,Greenwich,12-11-2021,37242,12885,561,194.1,41542,68.4,6109 ,,
102,Gloucestershire,12-11-2021,70338,10979.2,1250,195.1,30168,85.6,242 ,,
103,Gateshead,12-11-2021,33430,16553.6,571,282.7,25795,82.9,1419 ,,
104,Essex,12-11-2021,210868,14078.9,4636,309.5,33456,82.6,433 ,,
105,Enfield,12-11-2021,45236,13560.5,830,248.8,32418,66,4127 ,,
106,East Sussex,12-11-2021,60396,10807.2,1836,328.5,28504,83.3,327 ,,
107,East Riding of Yorkshire,12-11-2021,46114,13436.4,967,281.8,29810,87.2,143 ,,
108,Ealing,12-11-2021,52335,15377.2,904,265.6,37536,66.5,6128 ,,
109,Dudley,12-11-2021,51110,15854.8,917,284.5,28111,81.7,3291 ,,
110,Dorset,12-11-2021,37712,9929.7,653,171.9,27039,87.1,152 ,,
111,Doncaster,12-11-2021,53509,17107.3,965,308.5,25504,80.2,551 ,,
112,Devon,12-11-2021,80758,9961.3,907,111.9,25158,85.9,124 ,,
113,Derbyshire,12-11-2021,114714,14211.6,2355,291.8,27691,87.3,317 ,,
114,Derby,12-11-2021,39066,15211.8,833,324.4,29285,75.4,3291 ,,
115,Darlington,12-11-2021,17836,16606.8,305,284,27827,83,544 ,,
116,Cumbria,12-11-2021,70315,14069.2,1607,321.5,27828,87.2,74 ,,
117,Croydon,12-11-2021,52618,13541.7,1068,274.9,34714,66.5,4493 ,,
118,Coventry,12-11-2021,52068,13724.2,709,186.9,27739,69.2,3846 ,,
119,County Durham,12-11-2021,86232,16174.1,1668,312.9,27614,84,240 ,,
120,Cheshire West and Chester,12-11-2021,49781,14478.7,1031,299.9,30580,85.1,374 ,,
121,Cheshire East,12-11-2021,53436,13819.6,1083,280.1,33862,84.1,332 ,,
122,Central Bedfordshire,12-11-2021,38063,12942.4,703,239,33492,84.3,411 ,,
123,Camden,12-11-2021,27126,9704.6,360,128.8,55701,61.7,12834 ,,
124,Cambridgeshire,12-11-2021,72625,11050.6,1053,160.2,33679,79.4,216 ,,
125,Calderdale,12-11-2021,34249,16198.1,405,191.5,26468,80.1,581 ,,
126,Bury,12-11-2021,32967,17286.6,648,339.8,28260,79.1,1917 ,,
127,Buckinghamshire,12-11-2021,72182,13194.5,1260,230.3,40716,84.1,350 ,,
128,Bromley,12-11-2021,42820,12868.4,803,241.3,43848,79.4,2216 ,,
129,"Bristol, City of",12-11-2021,72081,15472.5,694,149,29540,75.6,4248 ,,
130,Brighton and Hove,12-11-2021,36373,12467.7,493,169,30923,73.7,3522 ,,
131,Brent,12-11-2021,45729,13952.3,921,281,33721,61.6,7580 ,,
132,Bradford,12-11-2021,92531,17068.1,1470,271.2,26130,71.4,1480 ,,
133,Bracknell Forest,12-11-2021,15684,12631.6,197,158.7,35914,83.1,1135 ,,
134,"Bournemouth, Christchurch and Poole",12-11-2021,56037,14115.5,1024,257.9,29594,78.9,2449 ,,
135,Bolton,12-11-2021,49258,17088.8,879,304.9,26243,77.7,2062 ,,
136,Blackpool,12-11-2021,23887,17261.8,503,363.5,22142,78.3,3968 ,,
137,Blackburn with Darwen,12-11-2021,31324,20878.5,510,339.9,23714,74.4,1095 ,,
138,Birmingham,12-11-2021,178429,15644.5,3304,289.7,26857,64.9,4259 ,,
139,Bexley,12-11-2021,36107,14483.3,674,270.4,36455,77.9,4115 ,,
140,Bedford,12-11-2021,27260,15605.1,563,322.3,30810,77.8,367 ,,
141,Bath and North East Somerset,12-11-2021,26007,13244.8,323,164.5,30792,81.6,568 ,,
142,Barnsley,12-11-2021,45413,18306.5,912,367.6,26151,82.9,754 ,,
143,Barnet,12-11-2021,53795,13482.2,1003,251.4,38746,69.9,4599 ,,
144,Barking and Dagenham,12-11-2021,33728,15752.9,581,271.4,26651,61.8,5931 ,,
,,,,,,,,,,,
